Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Engineer 4 - Contract (Remote),-1,"Purposes

This is a contract, remote position that is part of the Business Intelligence team, this individual works with multiple departments throughout the organization to take their data and transform it into information that will allow them to make better decisions. The data engineer is responsible for gathering requirements, design, creation and support of the data warehouse.

This individual works with divine guidance to provide or support technology that furthers the mission of the Church and reflects the eternal impact of the gospel.

Responsibilities
Possess and utilize vast knowledge, specific to the data field, to complete significant assignments
Maintain a strong understanding of the supported business processes
Gather and document requirements for the data warehouse
Contribute to the design of Star Schema data models
Create and support ETL jobs, pulling data from various source systems and loading data into the data warehouse
Contribute to the design of semantic layer to support end-user self-service
Build complex reports using SQL Server Reporting Services (SSRS)
Create complex dashboards using Microsoft Power BI or Tableau
Forecast, analyze data and trends, and create reports that highlight areas in need of performance improvement
Interact with customers as a technical resource to troubleshoot problems with the delivered BI solutions
Maintain production documentation
Qualifications

Education:
Bachelor's degree in related field or equivalent professional experience. Master’s degree preferred
Work Experience:
6+ years of data warehouse experience
1+ years of industrial grade experience in data science, including machine learning and NLP
Some experience evaluating industrial grade experience in data science, including machine learning and NLP
Successfully contributed to the completion of multiple impactful experiences contributing to the successful completion of multiple data science projects end to end, from idea generation to implementation in production systems (warehouse, or applications)
Considerable professional experience in data analysis and report design/development
Demonstrated Skills and Abilities:
Highly effective communicator; both written and verbal
Strong troubleshooter
Demonstrated ability to work under pressure and resolve complex problems
Proven experience in presentation/interface creation
Extensive knowledge of engineering best practices
Strong operational understanding and discipline
Ability to resolve security issues and requests and implement improvements
Advanced dimensional data modeling skills
Ability to quickly learn new tools and technology
Strong problem solving, analytical, and diagnostic skills
Advanced documentation, presentation, and communication skills
Great in developing ETL code, can manage the ingestion and cleansing of large sets of structured and unstructured data
Knows the algorithms used for regressions, clustering, classification, forecasting, and constructing graphs
This job operates in a professional office environment
To successfully perform the essential functions of the job there may be physical requirements which need to be met such as sitting for long periods of time and using computer monitors/equipment
Worthiness Qualification

Must be a member of The Church of Jesus Christ of Latter-day Saints and currently temple worthy.

Posting Notice/More Info.

Please Note: All positions are subject to close without notice.

Find out more about the many benefits of Church Employment at http://careers.churchofjesuschrist.org.

]]>",4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1
UX Data Scientist (Python),-1,"JOB DESCRIPTION:
Summary
As the Data Scientist on the Experience Research Team you will bring the power of our data to our team.
The analytics you deliver will strategically advance how Client ideates, builds, measures, and improves its own products.
You will use your quantitative skills to analyze disparate user data sources (e.g., NPS, Social Media, Behavioral data, Product feedback, User reported data) to present comprehensive views of user experience.

What Success Looks Like in the Role
You inspire those around you to be obsessed with data and the stories you can tell. You love turning data into insights. You thrive when people take-action on the insights you provide. You work effectively cross-team and you understand the importance of building strong relationships and earning trust and credibility. You have successfully helped this organization harness the power to tell our own stories with our own data.
Ideal years of Experience: 3-5 years

Responsibilities
Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions to support our own programs.
Interacts with product and teams to identify questions and issues for data analysis and experiments.
Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources.
Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments.
Be an internal leader in basic statistics including descriptive statistics, correlation and regression.

Must have skillsets:
• 3+ years work experience
• Strong quantitative analytical skills; with statistical analysis competence in techniques such as correlation, regression, KPI metric development, segmentation modeling and algorithms
• Fluent in either Python or R, able to query data using SQL, has experience working with cloud based computing platforms and big data tools.
• Experience in data mining, advanced data manipulation, machine learning and statistical analysis.
• Experience with data visualization and communication projects using software like Tableau
• Strong verbal and written communication skills to present analysis and insights including trends and opportunities to stakeholders and the business
• Believes in eating one's own dog food and using that experience to drive the creation of exceptional customer facing products
• High standard of detail, excellence, professionalism, and role model behavior
• Master’s Degree in Business Analytics, Data Analytics, or Data Science, with a BA/BS in Economics, Finance, Management, Marketing or Social Science

CONTACT INFORMATION:
Alan Bui
Alan@OSIengineering.com
408-550-2800 x 106
OSIJOBS",4.4,"OSI Engineering
4.4","San Francisco, CA","Campbell, CA",51 to 200 employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),"Join the Mobile Future with Tapjoy

Data Science is pretty much our business - we drive conversions. Given our massive scale, relatively modest improvements can have an outsized impact.

If you're looking to be a point of influence on a celebrated team (*not* just another in a giant machine), a thought leader & mentor, and implement cutting edge machine learning tools -- this gig is for you.

Responsibilities
Experiment and improve machine learning models for the recommendation/ad optimization system.
Inform bidding strategy and data engineering architecture.
Understand various ad-optimization algorithms (CTR prediction, eCPM optimization, user targeting and segmentation, RTB optimization, Exploration/Exploitation Algos)
Competencies
Solid coding skills in SQL and in a scripting language like Python. Packages: scikit-learn & TensorFlow. Scaling GPU clusters to train deep neural networks.
Experimental Design.
Deep expertise in recommendation systems, classification models, class imbalance, model calibration.
Experience with BigQuery or PySpark or another modern method to access data
Skills > credentials.
Bonus:
Domain and/or marketplace knowledge
Tapjoy is an equal opportunity employer. We believe that diversity and inclusion lead to stronger, more innovative teams and better business results; we want to draw from the broadest talent pool possible and encourage qualified applicants. Tapjoy does not discriminate on the basis of sex, race, ethnicity, color, age, sexual orientation, gender (including identity and expression), disability (mental or physical), religion, national origin, citizenship, marital status, military or veteran status, or any other protected classification protected by applicable law; we will provide reasonable accommodations for qualified individuals with disabilities, and pursuant to applicable fair chance ordinances, we will consider for employment qualified applicants with arrest and conviction records.

For more information, please visit www.tapjoy.com.

]]>",3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost"
"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),"SUMMARY

The Principal Scientist will report to the Director of Scientific Affairs, and will be responsible for management and execution of analytical technical activities and ensure their quality for ACM Clinical Laboratory, Inc. Responsibilities will include development of comprehensive policies and procedures for test and analyzer evaluation, development, validation and implementation. This position will work closely with the Scientific Affairs, Proposals and Business Development to ensure ACM Global Laboratories can provide high quality clinical insights to our clients, impacting patients around the world.

STATUS: Full time

LOCATION: ACM Global Laboratories - Headquarters (160 Elmgrove Park, Rochester, NY)

DEPARTMENT: Clinical Trials

SCHEDULE: Days

ATTRIBUTES
PhD in related chemical, physical, or biological science field required.
2-5 years laboratory experience and prior management or supervisory experience required.
2-5 experience in Hematology required.
2 years of laboratory management experience required.
Certificate of Qualification in Hematology preferred.
Board Certification (ABB, ABCC, ABFT, ABHI, ABMGG, ABMLI, ABMM, NRCC) preferred.
RESPONSIBILITIES
Method & Test Development. Oversee the development, validation, and implementation of new tests and procedures to ensure the clinical laboratory meets the needs of all clients, especially non-FDA approved assays to support Clinical Trial clients. Ensure appropriate technical methods are utilized. Develop protocols and oversee laboratory instrument selection, evaluation, validation and implementation. Advise on selection of new instrumentation globally. Prepare scientific data, including sample stability, method information, reference ranges, etc. to support test menu development. Participate in Continuous Professional Development and any other activity needed to ensure continuing registration as a Clinical Scientist or Laboratory Director, and keep abreast of new developments in the Biomedical Sciences and Clinical specialty and advise on new initiatives as appropriate.
Quality. Provide scientific and technical support on interpretation of laboratory data as required. Establishing and signing off acceptance of reference ranges. Review and approve validation studies of each test for clinical use. In conjunction with the laboratory manager, periodically review laboratory and quality control/assessment data to ensure accurate and precise results are continually produced, and participate in the ACM Global inter-laboratory correlation and standardization process. Supervise the training of staff in new techniques as necessary. Work with the QA department in writing and reviewing Standard Operating Procedures and relevant documentation as necessary. Participation in all activities that seek to ensure compliance with GCP guidelines and CAP accreditation. Comply with policies for the safe, secure and confidential processing and storage of patient and other laboratory information.
Client Relations. Review client protocols and prepare proposals and quotations to assist the business development team. Advise as necessary. Liaise with Proposals and Business Development and the VP of clinical operations to advice on methodology, instrumentation and costs for new assays to be introduced into the laboratory to assist in the development of quotations. Provide test analytical information and participate in conference calls and meetings with clinical trials analysts, business development and ACM clients.
Rochester Regional Health is an Equal Opportunity / Affirmative Action Employer. Minority/Female/Disability/Veteran",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
Lead Data Engineer,$190K-$220K(Employer est.),"Credit Sesame is bringing cash and credit together in a new, seamless way that helps consumers establish a direct path to financial wellness. Empowering members to own their credit is our number one mission. Since 2009, we’ve been helping millions of members improve their credit scores, lower the cost of their credit, and save money. When you join Credit Sesame, you become part of a team devoted to helping people take charge of their credit so they can live better lives.

We are looking for a Data Engineer Lead to manage the pipelines that move our data from multiple source systems to the Data Warehouse (AWS Redshift). You will manage the productionizing of Machine Learning models for both batch mode and also hosts Model-as-a-Service as RESTful services. You will also integrate with marketing partners, business collaborators and manage the data ingestion for revenue information coming from partners. Are you looking to manage infrastructure that powers our platform for millions of users? If so, we'd like to talk with you!
You'll...
be the point person and data expert on one or more domains of the platform;
write ETLs to add new integrations and new data to the warehouse;
support existing pipelines and important application events within infrastructure stack;
support architectural efforts including choice of ETL platforms and reviewing Database performance;
manage and build monitoring of technology platform components and measure metric deviations & build a culture of observability within the team;
oversee the release, support production deployment, and build and scale API stack to serve ML model results;
work with peers in Data Governance and Analytics to solicit input and feedback to improve the data and process;
build strong partnership with Data Science to understand tools and infrastructure that can be built for model pipelines;
manage predictive model data in the warehouse including tools and infrastructure.
You're a great fit for our team because...
you're familiar in one of these languages with Object Oriented Programming including Java, Python, Groovy;
you're able to write complex SQL queries and able to optimize queries;
you have experience with a Massively Parallel Processing DB like Redshift;
you're comfortable with Big Data processing frameworks like Apache Spark;
you have a Bachelor's degree or equivalent;
you have mentored team members.
You’ll love it here because...
you‘ll have huge potential to grow with a company that’s a category leader;
you’ll have equity in a pre-IPO company backed by top VCs;
we offer comprehensive medical, dental, and vision insurance with many plan options;
we have lunch catered daily;
you can stay on top of your fitness goals with our on-site fitness centers;
we offer monthly fitness, phone and internet reimbursement;
you can fuel up at our stocked kitchens with endless snacks and drinks;
we prize EQ and empathy, and have a culture that emphasizes total wellness, including work-life harmony (read more about Credit Sesame’s Key Values here: https://www.keyvalues.com/credit-sesame).

Office Location

Our Mountain View office is located within walking distance of the Caltrain station and in the heart of downtown Mountain View with great cafes, restaurants, and shops.

We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.

Office Location

Our Mountain View office is located within walking distance of the Caltrain station and in the heart of downtown Mountain View with great cafes, restaurants, and shops.

We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.",4.1,"Credit Sesame
4.1","Mountain View, CA","Mountain View, CA",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi"
Senior Data Engineer,-1,"The $21B Powersports market (motorcycles, ATVs, UTVs, PWCs, snowmobiles) is all about fast and fun, but the purchasing process is slow and frustrating. Octane enables consumers to live their passion by making powersports purchases instant, seamless, and widely available. Octane launched a credit product, branded as Roadrunner Financial, in 2016 to provide financing to prime and near-prime consumers who have historically been underserved by incumbent banks, expanding coverage to 50% of responsible consumers. Together with our automated underwriting and digital buying experience, Octane and RoadRunner cut the time to close a transaction from hours to minutes.

The market is choosing the Octane solution, as evidenced by ~25% of powersports merchants active on our platform (up 50% Y/Y), annualized origination run rate that is up over 3 X Y/Y. We are both the platform and the lender, which means we have both high growth and positive unit economicsrare for a fintech. We have raised >$100M in venture capital from leading investors such as IA Ventures, Valar Ventures, and Contour Venture Partners.

Octane Lending is looking for a Senior Data Engineer to focus on facilitating our company's data needs. Data is the fuel that we use to drive decisions for the company. From informing credit policy to creating product enhancements to updating servicing protocols, availability and accessibility of data is critical. As a Senior Data Engineer, you will collaborate with a team to architect a data infrastructure that is stable and scalable to support data analytics, reporting, and visualization. Your input and contribution will have direct impact on our future data strategy and our technology roadmap.

Specifically, you will:
Expose a variety of data sources into a centralized data warehouse capable of supporting analytics, reporting, and visualization
Build and manage ETL processing that is efficient, scalable, and performant
Design and implement secure and auditable cloud based data infrastructure
Test and optimize data architecture performance
Collaborate with teammates and internal teams to improve products
Review code and fix bugs
Mentor junior team members to follow engineering best practices

Requirements

5+ years experience working in software and data engineering
Extensive knowledge of ETL processing, data pipelines, and data warehouses
Proficiency with Python
Experience using Spark and SQL
Experience using AWS or other cloud services provider
Experience working with data that has regulatory, privacy, auditing, and security requirements (ideally in the Consumer Lending Industry)

Benefits
Robust Health Care Plans (Medical, Dental & Vision)
Generous Parental Leave
Up to 5 weeks PTO (self-managed)
Retirement Plan (401k) with Company contribution
Educational Assistance/Tuition Reimbursement up to $3K/year
Life Insurance (Basic, Voluntary & AD&D)
Short Term / Long Term Disability & Life insurance
Pre-Tax Commuter Benefits
Office snacks, full fridge, and drinks
Weekly catered Lunches
Monthly team outings
Fun company outings like bowling, yoga, cycling, mixology, cooking classes, & more!
Octane Lending is an equal opportunity employer committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or any other protected status with respect to recruitment, hiring, promotion and other terms and conditions of employment.",4.2,"Octane
4.2","Houston, TX","New York, NY",51 to 200 employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Pharmacovigilance Scientist (Senior Pharmacovigilance),-1,"We are looking for enthusiastic and talented individuals who thrive on challenge and change, and who want to make a difference through the delivery of results.

About the role

This role will lead US-based pharmacovigilance, responsible for global PV activities including overseeing processing safety data, leading the process for safety signal management activities, aggregate reports responding to safety questions from internal and external stakeholders, reviewing medical and scientific literature for safety information, and supporting Clinical Trial PV medical activities. Assist with cross-functional teams on relevant global safety regulations and guidelines; data output and analyses; and product specific information.

Responsibilities
Leads the signal management process (i.e., signal tracking, leading review meetings, etc.) for assigned product(s) and evaluates safety data and signals as part of ongoing pharmacovigilance activities. This includes synthesis of data from multiple sources and authoring signal evaluation reports.
Leads signaling review process and product Safety Management Team (SMT) meetings.
Manages literature review for safety information.
Collaborates with Global Safety MDs for assigned investigational studies including clinical trial activities (protocol review, ICF review, etc.) safety committee management, data analysis, signal detection, ad hoc requests and other product activities, as assigned.
Leads the process for responding to safety questions from regulatory authorities.
Contributes to and leads initiatives for process improvement and consistency regarding aggregate reporting, clinical trial safety oversight, signal management and responding to ad hoc safety questions.
Leads and collaborates with Aggregate Reports on strategy, review and finalization of aggregate safety reports for assigned products, such as PSURs, DSURs, Pharmacovigilance Plans, and Risk Management Plans (RMPs).
Participate Inspection readiness and compliance PV related activities.
Required Experience
Bachelor’s Degree in biologic or natural science; or health case discipline. Advanced degree (PhD, MPH, NP, PharmD, etc.) highly preferred.
3 years Pharmacovigilance experience preferred, including experience in aggregate safety reports and safety signal management. Strong background in clinical trial drug safety is required.
Understands, interprets, analyzes, and clearly presents scientific and medical data in verbal and written format (including intermediate understanding and application of medical concepts and terminology).
Demonstrates leadership and interacts collaboratively and effectively in a team environment (including Safety, Clinical Development, Medical Affairs, Clinical Operations, and Regulatory), as well as with external stakeholders.
Leads and conducts, independently and/or collaboratively, all aspects of substantive projects such as signaling, authoring of aggregate data reports, and responses to regulatory agency requests. Oversees and mentors less experienced PV Scientist staff.
Applies clinical judgment to interpret case information and collaborate with PV MDs.
Strong Pharmacovigilance and drug development foundation, including knowledge of applicable clinical trial safety regulations and post-marketing safety regulations.
Strong knowledge of case processing, expedited reporting rules, and safety database concepts.
Strong organizational skills, including the ability to prioritize independently.
Basic knowledge of common data processing software (EXCEL, PowerPoint, Microsoft Word, Business Objects). Knowledge of common safety database systems.
Able to work effectively as part of a team.
Excellent attention to detail.
Ability to deliver within established timelines.
Join Us!",4.6,"Greenwich Biosciences
4.6","Carlsbad, CA","Carlsbad, CA",201 to 500 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Science Manager,-1,"Decode_M

https://www.decode-m.com/

Data Science Manager : Job Description

We’re hiring a Data Science Manager in our New York office to lead Decode_M’s Data Science team in developing new solutions for our clients and advancing the science of momentum through our proprietary product.

This position, based in New York City, requires an interest in managing Decode_M’s data science team, workflow and offerings. It demands excellent organizational skills, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in analytics, research and strategy.

About You
You have an advanced degree in data science, mathematics, or another highly quantitative field, and are comfortable understanding and utilizing recent academic research in your work.
You have 3+ years of relevant work experience using applied statistics and/or machine learning. Bonus points if you’ve worked in a consulting, or other client-facing role before
You have 1+ years of management experience.
You are fluent in Python and R, as well as a robust numerical computing and data science stack in each language. Not only do you produce readable and well-documented code, but elevate your team’s work through thoughtful code review and mentorship
You are highly consultative, engaged, and detail-oriented. You see beyond the question you are asked to understand client objectives, and chart a course for long-term success in our relationships
You are an autodidact, who loves to figure out new solutions to problems by diving deep into StackOverflow, Arxiv.org, or your preferred destination.
You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut alone


What You'll Do

Lead a team. Help to set the vision for the Data Science team and follow through on that vision. Be a mentor to a small, close-knit team of data scientists, helping them to develop professionally

Drive New Product Development: Decode_M has developed a proprietary algorithm to quantify the cultural momentum of brands, entities, people and movements. You will steward the development of the algorithm and be part of the product team to bring it to market with new customers

Manage Process. Work across teams and with Decode_M’s leadership to ensure that our work is top notch, deadlines are met, and projects are resourced appropriately. Foster an environment where the team is empowered to do its best work

Build Tools. Use data from social media, online reviews, mainstream media sites, search, web traffic, quantitative research, CRMs or other databases, etc. to uncover intelligence around growth opportunities and business challenges. Build software and/or repeatable processes to scale this work

Grow our Capabilities. Advance our expertise in applying statistics and machine learning to digital trends, CRM data, and quantitative research. Know the state of the field well enough to know when to reach for best-in-class tools and when to design your own solutions",-1.0,Decode_M,"New York, NY","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Marketing Data Analyst,$35K-$62K (Glassdoor est.),"Under direct supervision of the Director of Database Marketing, the Marketing Data Analyst will work closely with members of the database marketing team and the FP&A marketing analysis team to derive insights from large amounts of customer and transactional data to develop segmentations, strategies, visualizations, reports, and recommendations for various marketing purposes. The Marketing Data Analyst will assist management with the interpretation, evaluation and interrelationship of data and generate integrated business analysis and projections to facilitate decision making.

Essential Duties & Responsibilities
Develop queries in SAS that create marketing campaigns to optimize profit and produce multi-channel campaign outputs.
Design and evaluate various tests and optimizations of campaigns.
Monitor the quality of all data at both the project and output level for the Database Marketing team.
Support the integration of new data sources and analyze and confirm the overall quality and integrity of source data.
Generate database extracts for Database Marketing teams as needed.
Provide campaign analytics to extended team, including insights and recommendations to improve message effectiveness and campaign performance.
Build business intelligence, reports and dashboards using software like SAS, Microsoft Excel/VBA, Tableau, or SAS Visual Analytics that include segment/campaign profitability and customer behavior or trends.
Create relationships with internal stakeholders to discover how data, platform and tools can assist to execute business needs.
Identify new business opportunities or potential risks based on data analysis on subject matters of various operations departments.
Train users as needed.
Perform other duties as assigned to support the efficient operation of the department.
Education/Experience/Qualifications
Bachelors or Masters Degree in Computer Science, Economics, Marketing, Finance, Mathematics, or related field required.
2+ years of experience with SAS and/or SQL and analyzing large datasets.
Equivalent combination of education and progressive, relevant and direct experience may be considered in lieu of minimum educational/experience requirements indicated above.
Advanced proficiency in Microsoft Excel and Word.
Experience working with relational databases is required.
Experience in programming/scripting.
Experience with data visualization, reporting & dash boarding tools such as SAS visual Analytics or Tableau.
Experience with Google Analytics custom reports and dashboards preferred.
Familiarity with marketing methodologies and systems such as segmentation modeling, targeting, CRM, and ROI projections and evaluation.
Predictive Modeling experience preferred.
Employee must have experience demonstrating the utmost discretion and confidentiality as they will have access to confidential information including, but not limited to: customer contact information, customer financial data, and organizational financial data.
Excellent communication skills, both written and verbal.
Must be able to obtain/maintain any necessary certifications and/or licenses.
Ability to mentor coordinators and administrative staff.
Ability to work with mathematical concepts such as probability and statistical inference. Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations, including the development of financial statistical models and forecasts.
Ability to define problems, collect data, establish facts, and draw valid conclusions with minimal direction. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.
Ability to effectively present information to, and respond to questions from, groups of managers and directors. Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, governmental regulations, financial reports, and legal documents. Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community.
Certificates/Licenses/Registrations
At the discretion of the San Manuel Tribal Gaming Commission you may be required to obtain and maintain a gaming license.
San Manuel Band of Mission Indians and San Manuel Casino will make reasonable accommodations in compliance with the Americans with Disabilities Act of 1990.

As one of the largest private employers in the Inland Empire, San Manuel deeply cares about the future, growth and well-being of its employees. Join our team today!",3.6,"San Manuel Casino
3.6","Highland, CA","Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1
Medical Laboratory Scientist,$18-$25 Per Hour(Glassdoor est.),"Description
Medical Laboratory Scientist - Texas Health Huguley- operated as joint venture between Texas Health Resources and AdventHealth
Location Address: 11801 South Fwy., Burleson, TX 76028
Top Reasons to Work At Texas Health Huguley, Burleson, TX
Our care for patients extend to the spiritual level by praying with patients and families and providing on call, 24 hours, 7 days a week Chaplains for spiritual support.
Award winning facility and departments including Great Place to Work by Beckers Hospital Review and Gallup.
Work with the latest technology and top experts including Daisy Award recipients while on the way to Magnet status2020.
Amazing medical benefits through Aetna plus an onsite full-service fitness center.
Growth opportunities designed for each employee.
Located about 10 minutes from downtown Fort Worth and near TCU in the award-winning school district, Burleson ISD which also provides a low-cost of living.
Work Hours/Shift:
Full Time
3rd Shift

You Will Be Responsible For:
Accurately performs and expeditiously reports laboratory tests, according to departmental policies, CLIA law and regulatory standards.
Determines identity and suitability of specimens when received, according to procedure policies.
Assures test accuracy by performing and recording control testing, in accordance with departmental policy on each shift, as observed by the department supervisor.
Performs tests in accordance with department policy and reports results in a timely manner, as documented in test records.
Organizes daily work efficiently and expedites testing as observed by supervisor.
Investigates problems and takes initiative in resolving them, both technical and non-technical, and communicates the outcome to the appropriate individual.
Reviews integrity of report by checking legibility, completeness and credibility of results prior to releasing, as observed by supervisor.
Accurately performs, records, transcribes or reviews proficiency testing material by the stated deadline, according to laboratory policy and CLIA law, as evidenced in the survey evaluation results.
Maintains instrumentation and department supplies in order to ensure efficient departmental operations.
Performs and documents assigned equipment maintenance duties per shift according to maintenance manuals.
Restocks department supplies on a regular basis to ensure adequacy of inventory, as documented on department checklist.
Recognizes problems in instrumentation, performs first line repairs as outlined in procedure manual and notifies appropriate individual if unable to adequately alleviate the problem.
Promotes and contributes positively to intradepartmental and interdepartmental communications to ensure efficient departmental operation.
Answers telephone and pages promptly and in a courteous manner, identifying self and department at all times.
Assists in orientation and training of new associates unfamiliar with the department, as observed by the supervisor.
Relays all appropriate information during shift hand-off, and ensures department is covered prior to leaving.
Demonstrates good judgment in directing phone calls or questions to the appropriate department or individual.
Promotes a safe working environment by regimented clean up and adherence to safety manuals.
Adheres to established departmental guidelines for clean up on each shift.
Protects self and co-workers by practicing safety precautions as established in safety and infection control manuals.
Maintains appropriate departmental records and filing systems to ensure the expeditious retrieval of information and to comply with regulatory requirements.
Ensures that results are properly filed and that data is recorded in a legible manner as evidenced in departmental records.
Exhibits ability to perform essential computer operations pertaining to job duties.
Performs outpatient ordering as defined in the department policy.
Maintains a professional attitude in the work place regarding procedures, personnel and continuing education.
Demonstrates a willingness to learn new procedures and instrumentation by attending training sessions and becoming familiar with new revisions as they occur.
Reviews policies frequently, assists in updating contents and complies with procedures contained therein.
Demonstrates flexibility by being able to work various departments and alternative shifts when requested.
Exhibits willingness to help associates in their tasks when able.
Accepts constructive criticism and feedback.
Maintains necessary continuing education credits, keeps required competencies current, and maintains valid ASCP Certification.
Qualifications
What You Will Need:

Must have a B.S. degree in Medical Technology, Medical Laboratory Science or a related science.
Valid ASCP or AMT Technologist/Scientist Certification.
At least one year of experience is preferred.
Job Summary:
Perform and report clinical laboratory analysis to assist physicians and other hospital staff in the diagnosis and monitoring of patients.

This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",4.0,"Texas Health Huguley Hospital
4.0","Burleson, TX","Arlington, TX",1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
Senior Data Scientist,-1,"GSN Games is looking for a Senior Data Scientist to join our team in San Francisco.

What You’ll Do
The GSN Data Science team delivers machine-learning based tools, products and insights that help to move the needle in the business of our games. You will be a key member of the larger Data Organization, and other members of the Data Engineering, Data Analytics and User Research teams to conceptualize, develop and roll-out ML-based products and features. You will also be critical in informing our ML platform roadmap and infrastructure, testing new products on the market and ensuring our big data technology stays cutting edge. This is an exceptional opportunity to apply Data Science, Software Engineering, and organizational skills to drive actionable insights across a portfolio of games.

You Will:
Collaborate with other data scientists and data analysts to build, tune, and optimize machine learning models to optimize all aspects of the business, including LTV, churn prediction, payer propensity, AB test suite, topic modeling/classification, fraud detection, etc. just to name a few.
Collaborate with the Data Engineering team on key Big Data Initiatives to ensure our platform is, and remains, cutting edge. This includes working with new offerings on AWS, GCP/BigQuery, Vertica and Spark technologies.
Partner with game studios to solve business-critical questions. Sometimes these questions are brought to us, and sometimes we bring these questions to the game teams.
Proactively explore the data to find new insights and opportunities for growth and optimization.
Help develop best practices with data and analytic techniques across the game studios.
Keep up with industry trends and developments, and make sure our technologies are cutting edge.

About You:
3-5 years experience working in data technology, several of those in Machine Learning.
Strong background in probability, statistics, and machine learning, with a broad (generalist) understanding of techniques for different applications.
Fluent in Python.
Working knowledge of Amazon Web Services & Google Compute Platform.
Strong hands-on experience with SQL.
Experience with A/B testing and other forms of causal inference, and good skills in data visualization.
Excellent communication skills.
BS in a quantitative field such as math, physics, economics, or computer science (MS preferred)
Bonus points for experience in games.",4.5,"GSN Games
4.5","San Francisco, CA","Boston, MA",201 to 500 employees,1999,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1
